English,Spanish,sentiment
affluent,afluente,positive
afford,permitirse,positive
affront,afrenta,negative
afraid,miedo,negative
aftermath,secuelas,negative
aftertaste,regusto,negative
aga,aga,positive
aggravated,agravado,negative
aggravating,agravante,negative
aggravation,agravación,negative
aggression,agresión,negative
aggressive,agresivo,negative
aggressor,agresor,negative
aghast,espantado,negative
agile,ágil,positive
agility,agilidad,positive
agitated,agitado,negative
agitation,agitación,negative
agonizing,agonizante,negative
agony,agonía,negative
agree,acordar,positive
agreeable,agradable,positive
agreed,convenido,positive
agreeing,acordando,positive
agreement,acuerdo,positive
agriculture,agricultura,positive
aground,encallado,negative
ahead,adelante,positive
aid,ayuda,positive
aiding,ayuda,positive
ail,afligir,negative
ailing,enfermo,negative
aimless,sin objetivo,negative
airs,aires,negative
alabaster,alabastro,positive
alarm,alarma,negative
alarming,alarmante,negative
alcoholism,alcoholismo,negative
alertness,vigilancia,positive
alien,extranjero,negative
alienate,enajenar,negative
alienated,alienado,negative
alienation,alienación,negative
alimentation,alimentación,positive
alimony,pensión alimenticia,negative
alive,vivo,positive
allay,calmar,positive
allegation,alegación,negative
allege,alegar,negative
allegiance,lealtad,positive
allegro,alegro,positive
alleviate,aliviar,positive
alleviation,alivio,positive
allied,aliado,positive
allowable,admisible,positive
allure,atractivo,positive
alluring,seductor,positive
ally,aliado,positive
almighty,todopoderoso,positive
aloha,aloha,positive
aloof,a distancia,negative
altercation,altercado,negative
amazingly,increíblemente,positive
ambassador,embajador,positive
ambiguous,ambiguo,negative
ambition,ambición,positive
ambush,emboscada,negative
ameliorate,mejorar,positive
amen,amén,positive
amenable,dócil,positive
amend,enmendar,positive
amends,compensación,positive
amenity,amenidad,positive
amiable,amable,positive
amicable,amistoso,positive
amnesia,amnesia,negative
amnesty,amnistía,positive
amour,amour,positive
amphetamines,anfetaminas,negative
amuse,divertir,positive
amused,divertido,positive
amusement,diversión,positive
amusing,divertido,positive
anaconda,anaconda,negative
anal,anal,negative
analyst,analista,positive
anarchism,anarquismo,negative
anarchist,anarquista,negative
anarchy,anarquía,negative
anathema,anatema,negative
anchor,ancla,positive
anchorage,fondeadero,positive
ancient,antiguo,negative
angel,ángel,positive
angelic,angelical,positive
anger,ira,negative
angina,angina,negative
angling,pesca con caña,negative
angry,enojado,negative
anguish,angustia,negative
animate,animar,positive
animated,animado,positive
animosity,animosidad,negative
animus,animosidad,negative
annihilate,aniquilar,negative
annihilated,aniquilado,negative
annihilation,aniquilación,negative
annoy,molestar,negative
annoyance,molestia,negative
annoying,molesto,negative
annul,anular,negative
annulment,anulación,negative
anomaly,anomalía,negative
anonymous,anónimo,negative
antagonism,antagonismo,negative
antagonist,antagonista,negative
antagonistic,antagónico,negative
anthrax,ántrax,negative
antibiotics,antibióticos,positive
antichrist,anticristo,negative
antidote,antídoto,positive
antifungal,antifúngico,positive
antipathy,antipatía,negative
antiquated,anticuado,negative
antique,antigüedad,positive
antiseptic,antiséptico,positive
antisocial,antisocial,negative
antithesis,antítesis,negative
anxiety,ansiedad,negative
anxious,ansioso,negative
apache,apache,negative
apathetic,apático,negative
apathy,apatía,negative
aphid,áfido,negative
aplomb,aplomo,positive
apologetic,apologético,positive
apologize,disculparse,positive
apology,disculpa,positive
apostle,apóstol,positive
appalling,espantoso,negative
appendicitis,apendicitis,negative
applause,aplausos,positive
appreciation,apreciación,positive
apprehension,aprensión,negative
apprehensive,aprensivo,negative
approbation,aprobación,positive
appropriation,apropiación,negative
approval,aprobación,positive
approve,aprobar,positive
approving,aprobar,positive
apt,apto,positive
aptitude,aptitud,positive
archaeology,arqueología,positive
archaic,arcaico,negative
ardent,ardiente,positive
ardor,ardor,positive
arduous,arduo,negative
argue,argumentar,negative
argument,argumento,negative
argumentative,discutidor,negative
arid,árido,negative
aristocracy,aristocracia,positive
aristocratic,aristocrático,positive
armaments,armamento,negative
armed,armado,positive
armor,armadura,positive
aroma,aroma,positive
arouse,despertar,positive
arraignment,acusación,negative
array,formación,positive
arrears,atrasos,negative
arrest,arrestar,negative
arrogance,arrogancia,negative
arrogant,arrogante,negative
arsenic,arsénico,negative
arson,incendio provocado,negative
art,arte,positive
articulate,articular,positive
articulation,articulación,positive
artillery,artillería,negative
artisan,artesano,positive
artiste,artista,positive
artistic,artístico,positive
ascendancy,ascendiente,positive
ascent,ascenso,positive
ash,ceniza,negative
ashamed,avergonzado,negative
ashes,cenizas,negative
aspiration,aspiración,positive
aspire,aspirar,positive
aspiring,ambicioso,positive
ass,culo,negative
assail,atacar,negative
assailant,agresor,negative
assassin,asesino,negative
assassinate,asesinar,negative
assassination,asesinato,negative
assault,asalto,negative
assembly,montaje,positive
assent,asentimiento,positive
asserting,afirmando,positive
assets,bienes,positive
asshole,Estúpido,negative
assist,ayudar,positive
assistance,asistencia,positive
associate,asociado,positive
assuage,calmar,positive
assurance,garantía,positive
assured,asegurado,positive
astonishingly,asombrosamente,positive
astonishment,asombro,positive
astray,por mal camino,negative
astringent,astringente,negative
astrologer,astrólogo,positive
astronaut,astronauta,positive
astronomer,astrónomo,positive
astute,astuto,positive
asylum,asilo,negative
atheism,ateísmo,negative
atherosclerosis,aterosclerosis,negative
athlete,atleta,positive
athletic,atlético,positive
atom,átomo,positive
atone,a la una,positive
atonement,expiación,positive
atrocious,atroz,negative
atrocity,atrocidad,negative
atrophy,atrofia,negative
attachment,accesorio,positive
attack,ataque,negative
attacking,atacar,negative
attainable,alcanzable,positive
attainment,logro,positive
attendant,asistente,positive
attention,atención,positive
attentive,atento,positive
attenuated,atenuada,negative
attenuation,atenuación,negative
attest,dar fe,positive
attorney,abogado,positive
attraction,atracción,positive
attractiveness,atractivo,positive
audacity,audacia,negative
augment,aumentar,positive
august,augusto,positive
aunt,tía,positive
aura,aura,positive
auspicious,propicio,positive
austere,austero,negative
austerity,austeridad,negative
authentic,auténtico,positive
authenticity,autenticidad,positive
author,autor,positive
authoritative,autoritario,positive
authority,autoridad,positive
authorization,autorización,positive
authorized,autorizado,positive
autocratic,autocrático,negative
autopsy,autopsia,negative
avalanche,avalancha,negative
avarice,avaricia,negative
avatar,avatar,positive
avenger,vengador,negative
averse,contrario,negative
aversion,aversión,negative
avoid,evitar,negative
avoidance,evitación,negative
award,premio,positive
awful,horrible,negative
awkwardness,torpeza,negative
awry,torcido,negative
ay,sí,positive
aye,sí,positive
babble,balbuceo,negative
babbling,balbuceo,negative
baboon,babuino,negative
baby,bebé,positive
baccalaureate,bachillerato,positive
backbone,columna vertebral,positive
backward,hacia atrás,negative
backwards,hacia atrás,negative
backwater,remanso,negative
bacteria,bacterias,negative
bacterium,bacteria,negative
bad,malo,negative
badger,tejón,negative
badly,mal,negative
badness,maldad,negative
bailiff,alguacil,negative
bait,cebo,negative
balance,equilibrio,positive
balanced,equilibrado,positive
bale,paca,negative
balk,obstáculo,negative
ballad,balada,positive
ballet,ballet,positive
ballot,votación,positive
balm,bálsamo,positive
balsam,bálsamo,positive
ban,prohibición,negative
bandit,bandido,negative
bane,perdición,negative
bang,explosión,negative
banger,petardo,negative
banish,desterrar,negative
banished,alejado,negative
banishment,destierro,negative
bankrupt,quebrado,negative
bankruptcy,quiebra,negative
banquet,banquete,positive
banshee,banshee,negative
baptism,bautismo,positive
baptismal,bautismal,positive
barb,lengüeta,negative
barbarian,bárbaro,negative
barbaric,bárbaro,negative
barbarism,barbarie,negative
bard,bardo,positive
bargain,ganga,positive
bark,ladrido,negative
barred,prohibido,negative
barren,estéril,negative
barricade,barricada,negative
barrier,barrera,negative
baseless,infundado,negative
basketball,baloncesto,positive
bastard,Bastardo,negative
bastion,bastión,positive
bath,baño,positive
batter,bateador,negative
battered,maltratadas,negative
battery,batería,negative
battle,batalla,negative
battled,batallado,negative
battlefield,campo de batalla,negative
bawdy,obsceno,negative
bayonet,bayoneta,negative
beam,haz,positive
beaming,radiante,positive
bearer,portador,negative
beast,bestia,negative
beastly,bestial,negative
beating,paliza,negative
beautification,embellecimiento,positive
beautiful,hermosa,positive
beautify,embellecer,positive
beauty,belleza,positive
bedrock,roca de fondo,positive
beer,cerveza,positive
befall,acontecer,negative
befitting,acorde,positive
befriend,ofrecer amistad,positive
beg,mendigar,negative
beggar,mendigo,negative
begging,mendicidad,negative
behemoth,gigante,negative
beholden,agradecido,negative
belated,tardío,negative
believing,creyendo,positive
belittle,empequeñecer,negative
belligerent,beligerante,negative
belt,cinturón,negative
bender,juerga,negative
benefactor,benefactor,positive
beneficial,beneficioso,positive
benefit,beneficio,positive
benevolence,benevolencia,positive
benign,benigno,positive
bereaved,desconsolado,negative
bereavement,duelo,negative
bereft,privado,negative
berserk,enloquecido,negative
berth,litera,positive
bestial,bestial,negative
betray,traicionar,negative
betrayal,traición,negative
betrothed,desposada,positive
betterment,mejoramiento,positive
beverage,bebida,positive
beware,tener cuidado,negative
bewildered,desconcertado,negative
bias,parcialidad,negative
biased,parcial,negative
biblical,bíblico,positive
bickering,dimes y diretes,negative
bier,féretro,negative
bigot,intolerante,negative
bigoted,fanático,negative
bile,bilis,negative
bilingual,bilingüe,positive
biopsy,biopsia,negative
birch,abedul,negative
birth,nacimiento,positive
birthday,cumpleaños,positive
birthplace,lugar de nacimiento,negative
bitch,perra,negative
bite,morder,negative
bitterly,amargamente,negative
bitterness,amargura,negative
bizarre,extraño,negative
black,negro,negative
blackjack,veintiuna,negative
blackmail,chantaje,negative
blackness,negrura,negative
blame,culpa,negative
blameless,libre de culpa,positive
bland,soso,negative
blasphemous,blasfemo,negative
blasphemy,blasfemia,negative
blast,explosión,negative
blatant,descarado,negative
blather,decir tonterías,negative
blaze,fuego,negative
bleak,triste,negative
bleeding,sangría,negative
blemish,mancha,negative
bless,bendecir,positive
blessed,bendito,positive
blessing,bendición,positive
blessings,bendiciones,positive
blight,plaga,negative
blighted,arruinada,negative
blind,Ciego,negative
blinded,cegado,negative
blindly,a ciegas,negative
blindness,ceguera,negative
bliss,felicidad,positive
blissful,dichoso,positive
blister,ampolla,negative
bloated,hinchado,negative
blob,gota,negative
blockade,bloqueo,negative
bloodless,incruento,positive
bloodshed,matanza,negative
bloodthirsty,sanguinario,negative
bloody,sangriento,negative
bloom,floración,positive
blossom,flor,positive
blot,mancha,negative
blower,soplador,negative
blowout,Reventar,negative
blues,blues,negative
bluff,bluff,negative
blunder,pifia,negative
blur,mancha,negative
blurred,borroso,negative
blush,rubor,negative
boast,jactancia,positive
boasting,jactancia,negative
bodyguard,guardaespaldas,positive
bog,pantano,negative
bogus,falso,negative
boil,hervir,negative
boilerplate,repetitivo,negative
boisterous,bullicioso,positive
bold,audaz,positive
boldness,audacia,positive
bolster,reforzar,positive
bomb,bomba,negative
bombard,bombardear,negative
bombardment,bombardeo,negative
bombed,bombardeado,negative
bonanza,bonanza,positive
bondage,esclavitud,negative
bonds,bonos,negative
bonne,bonne,positive
bonus,prima,positive
boo,abucheo,negative
booby,bobo,negative
bookish,libresco,positive
bookshop,librería,positive
bookworm,ratón de biblioteca,positive
boon,bendición,positive
booze,bebida alcohólica,negative
bore,taladro,negative
boredom,aburrimiento,negative
boring,aburrido,negative
borrower,prestatario,negative
bother,molestar,negative
bothering,molesto,negative
bottom,fondo,negative
bound,encuadernado,negative
bountiful,abundante,positive
bounty,generosidad,positive
bouquet,ramo,positive
bout,combate,negative
bovine,bovino,negative
boy,niño,negative
boycott,boicoteo,negative
brag,alardear,negative
brains,sesos,positive
brandy,brandy,negative
bravado,bravata,negative
bravery,valentía,positive
brawl,riña,negative
brazen,descarado,negative
breach,incumplimiento,negative
breakdown,Descompostura,negative
breakfast,desayuno,positive
breakneck,vertiginoso,negative
breakup,ruptura,negative
bribe,soborno,negative
bribery,soborno,negative
bridal,nupcial,positive
bride,novia,positive
bridegroom,novio,positive
bridesmaid,dama de honor,positive
brigade,brigada,negative
brighten,aclarar,positive
brightness,brillo,positive
brilliant,brillante,positive
brimstone,azufre,negative
bristle,cerda,negative
broadside,costado,negative
brocade,brocado,positive
broil,asar,negative
broke,rompió,negative
broken,roto,negative
brothel,burdel,negative
brother,hermano,positive
brotherhood,fraternidad,positive
brotherly,fraternal,positive
bruise,contusión,negative
brunt,peor parte,negative
brutal,brutal,negative
brutality,brutalidad,negative
brute,bruto,negative
buck,dólar,positive
buddy,amigo,positive
buffet,buffet,negative
bug,bug,negative
bugaboo,pesadilla,negative
build,construir,positive
building,edificio,positive
bulbous,bulboso,negative
bulldog,buldog,positive
bulletproof,a prueba de balas,positive
bully,matón,negative
bum,culo,negative
bummer,fastidio,negative
buoy,boya,positive
burdensome,gravoso,negative
bureaucracy,burocracia,negative
bureaucrat,burócrata,negative
burglar,ladrón,negative
burglary,robo con fractura,negative
burial,entierro,negative
buried,enterrado,negative
burke,burke,negative
burnt,quemado,negative
buss,buss,positive
busted,reventado,negative
butcher,Carnicero,negative
butler,mayordomo,positive
butt,culata,negative
buttery,mantecoso,positive
buxom,exuberante,positive
buzz,zumbido,positive
buzzed,zumbaban,negative
cab,taxi,positive
cabal,cábala,negative
cabinet,gabinete,positive
cacophony,cacofonía,negative
cad,canalla,negative
cadaver,cadáver,negative
cafe,café,positive
cage,jaula,negative
calculating,calculador,negative
calculator,calculadora,positive
calf,ternero,positive
callous,calloso,negative
calls,llamadas,negative
calm,calma,positive
campaigning,campaña,negative
canary,canario,positive
cancel,cancelar,negative
cancer,cáncer,negative
candid,sincero,positive
candidate,candidato,positive
candied,azucarado,positive
canker,cancro,negative
cannibal,caníbal,negative
cannibalism,canibalismo,negative
cannon,cañón,negative
capitalist,capitalista,positive
captain,capitán,positive
captivate,cautivar,positive
captivating,cautivador,positive
captive,cautivo,negative
captivity,cautiverio,negative
captor,apresador,negative
capture,captura,negative
carcass,res muerta,negative
carcinoma,carcinoma,negative
cardiomyopathy,cardiomiopatía,negative
career,carrera,positive
careful,cuidadoso,positive
carefully,cuidadosamente,positive
carelessness,descuido,negative
caress,caricia,positive
caretaker,vigilante,positive
caricature,caricatura,negative
caries,caries,negative
carnage,carnicería,negative
carnal,carnal,negative
carnivorous,carnívoro,negative
carol,villancico,positive
cartel,cartel,negative
cascade,cascada,positive
case,caso,negative
cash,efectivo,positive
casket,ataúd,negative
caste,casta,negative
casualty,víctima,negative
cataract,catarata,negative
catastrophe,catástrofe,negative
categorical,categórico,positive
cater,abastecer,positive
cathartic,catártico,positive
cathedral,catedral,positive
catheter,catéter,negative
caution,precaución,negative
cautious,cauteloso,positive
cautiously,cautelosamente,positive
cede,ceder,negative
celebrated,célebre,positive
celebrating,celebrando,positive
celebration,celebración,positive
celebrity,celebridad,positive
celestial,celeste,positive
cemetery,cementerio,negative
censor,censor,negative
censure,censura,negative
center,centro,positive
centurion,centurión,positive
cerebral,cerebral,positive
ceremony,ceremonia,positive
certainty,certeza,positive
cess,impuesto,negative
cessation,cese,negative
chaff,paja,negative
chafing,excoriación,negative
chagrin,disgusto,negative
chairman,presidente,positive
chairwoman,presidenta,positive
challenge,desafío,negative
champion,campeón,positive
chant,canto,positive
chaos,caos,negative
chaotic,caótico,negative
charade,charada,negative
chargeable,cobrable,negative
charger,cargador,positive
charitable,caritativo,positive
charity,caridad,positive
charm,encanto,positive
charmed,Encantado,positive
charming,encantador,positive
chase,persecución,negative
chastisement,castigo,negative
chastity,castidad,positive
chattering,parloteo,positive
chatty,hablador,negative
cheap,barato,negative
cheat,engañar,negative
checklist,lista de verificación,positive
cheer,humor,positive
cheerful,alegre,positive
cheerfulness,alegría,positive
cheering,aplausos,positive
cheery,alegre,positive
cheesecake,tarta de queso,negative
chemist,químico,positive
cherish,apreciar,positive
cherry,Cereza,positive
chicane,chicane,negative
chieftain,cacique,positive
child,niño,positive
childhood,infancia,positive
childish,pueril,negative
chilly,frío,negative
chirp,chirrido,positive
chisel,cincel,positive
chivalry,caballería,positive
chloroform,cloroformo,negative
chocolate,chocolate,positive
choice,elección,positive
choir,coro,positive
choke,estrangulación,negative
cholera,cólera,negative
chop,picar,negative
choral,coral,positive
chore,faena,negative
chorus,coro,positive
chosen,preferido,positive
chowder,sopa de pescado,positive
chronic,crónico,negative
chronicle,crónica,positive
chuckle,risita,positive
church,iglesia,positive
cider,sidra,positive
cigarette,cigarrillo,negative
circumcision,circuncisión,positive
circumvention,elusión,positive
citizen,ciudadano,positive
civil,civil,positive
civility,civilidad,positive
civilization,civilización,positive
civilized,civilizado,positive
clairvoyant,clarividente,positive
clamor,clamor,negative
clap,aplaudir,positive
clarify,aclarar,positive
clash,choque,negative
clashing,chocando,negative
classic,clásico,positive
classical,clásico,positive
classics,clásicos,positive
classify,clasificar,positive
claw,garra,negative
clean,limpio,positive
cleaning,limpieza,positive
cleanliness,limpieza,positive
cleanly,limpiamente,positive
cleanse,limpiar,positive
cleansing,limpieza,positive
clearance,despeje,positive
clearness,claridad,positive
clerical,clerical,positive
clever,inteligente,positive
cleverness,astucia,positive
climax,clímax,positive
cloister,claustro,negative
closeness,cercanía,positive
closure,cierre,positive
clothe,vestir,positive
clouded,nublada,negative
cloudiness,nubosidad,negative
clown,payaso,positive
clump,grupo,negative
clumsy,torpe,negative
coalition,coalición,positive
coast,costa,positive
cocaine,cocaína,negative
coerce,obligar,negative
coercion,coerción,negative
coexist,coexistir,positive
coffin,ataúd,negative
cogent,convincente,positive
cognitive,cognitivo,positive
coherence,coherencia,positive
coherent,coherente,positive
cohesive,cohesivo,positive
cold,frío,negative
coldly,fríamente,negative
coldness,frialdad,negative
colic,cólico,negative
collapse,colapso,negative
collectively,colectivamente,positive
collision,colisión,negative
collusion,colusión,negative
colonel,coronel,positive
colossal,colosal,positive
coma,coma,negative
comatose,comatoso,negative
combat,combate,negative
combatant,combatiente,negative
combative,combativo,negative
comfort,comodidad,positive
commandant,comandante,positive
commanding,dominante,positive
commemorate,conmemorar,positive
commemoration,conmemoración,positive
commemorative,conmemorativo,positive
commend,elogiar,positive
commendable,recomendable,positive
commentator,comentarista,positive
committal,compromiso,negative
committed,comprometido,positive
commodore,comodoro,positive
commonwealth,mancomunidad,positive
commotion,conmoción,negative
communicate,comunicarse,positive
communicative,comunicativo,positive
communion,comunión,positive
communism,comunismo,negative
communist,comunista,negative
community,comunidad,positive
commutation,conmutación,positive
commute,conmutar,positive
companion,compañero,positive
compassion,compasión,positive
compassionate,compasivo,positive
compatibility,compatibilidad,positive
compatible,compatible,positive
compelling,irresistible,positive
compensate,compensar,positive
compensatory,compensatoria,positive
competence,competencia,positive
competency,competencia,positive
competent,competente,positive
competition,competencia,negative
complacency,complacencia,positive
complain,quejarse,negative
complaint,queja,negative
complement,complemento,positive
complementary,complementario,positive
completely,completamente,positive
completeness,lo completo,positive
completing,completar,positive
completion,terminación,positive
complexed,acomplejado,negative
complexity,complejidad,negative
compliance,conformidad,positive
compliant,obediente,positive
complicate,complicar,negative
complicated,complicado,negative
complication,complicación,negative
complicity,complicidad,positive
compliment,cumplido,positive
composed,compuesto,positive
composer,compositor,positive
compost,compost,negative
composure,serenidad,positive
comprehend,comprender,positive
comprehensive,comprensivo,positive
compulsion,compulsión,negative
compulsory,obligatorio,negative
comrade,compañero,positive
conceal,ocultar,negative
concealed,oculto,negative
concealment,ocultación,negative
conceit,engreimiento,negative
conceited,engreído,negative
concentric,concéntrico,positive
conciliation,conciliación,positive
concluding,conclusiva,positive
concord,concordia,positive
concordance,concordancia,positive
concussion,conmoción cerebral,negative
condemn,condenar,negative
condemnation,condenación,negative
condescending,condescendiente,negative
condescension,condescendencia,negative
condolence,condolencia,positive
condone,condonar,positive
conducive,conducente,positive
conductivity,conductividad,positive
confederate,confederado,positive
confess,confesar,positive
confession,confesión,negative
confidence,confianza,positive
confident,seguro,positive
confine,confinar,negative
confined,confinado,negative
confinement,confinamiento,negative
confirmed,confirmado,positive
confiscate,confiscar,negative
confiscation,confiscación,negative
conflagration,conflagración,negative
conflict,conflicto,negative
conflicting,contradictorio,negative
conformance,conformidad,positive
confound,confundir,negative
confounded,confundido,negative
confuse,confundir,negative
confusion,confusión,negative
congenial,agradable,positive
congestion,congestión,negative
congratulatory,congratulatorio,positive
congregation,congregación,positive
congruence,congruencia,positive
conjuring,prestidigitación,negative
connoisseur,conocedor,positive
conquest,conquista,negative
conscience,conciencia,positive
conscientious,concienzudo,positive
consciousness,conocimiento,positive
consecration,consagración,positive
conservation,conservación,positive
conserve,conservar,positive
considerable,considerable,positive
considerate,considerado,positive
consistency,consistencia,positive
console,consola,positive
consonant,consonante,positive
conspirator,conspirador,negative
conspire,conspirar,negative
constancy,constancia,positive
constant,constante,positive
consternation,consternación,negative
constipation,estreñimiento,negative
constitutional,constitucional,positive
constrain,constreñir,negative
constrained,constreñido,negative
constraint,restricción,negative
construct,construir,positive
consummate,consumado,positive
contact,contacto,positive
contagion,contagio,negative
contagious,contagioso,negative
contaminate,contaminar,negative
contaminated,contaminado,negative
contamination,contaminación,negative
contemplation,contemplación,positive
contempt,desprecio,negative
contemptible,despreciable,negative
contemptuous,desdeñoso,negative
content,contenido,positive
contentious,contencioso,negative
continue,continuar,positive
contour,contorno,positive
contraband,contrabando,negative
contracted,contratado,negative
contradict,contradecir,negative
contradiction,contradicción,negative
contradictory,contradictorio,negative
contrary,contrario,negative
contrasted,contrastado,negative
contravene,infringir,negative
contravention,contravención,negative
contribute,contribuir,positive
contributor,contribuyente,positive
controversial,polémico,negative
controversy,controversia,negative
convenience,conveniencia,positive
convenient,conveniente,positive
convent,convento,positive
convention,convención,positive
conversant,versado en,positive
conversational,conversacional,positive
convert,convertir,positive
convict,convicto,negative
conviction,convicción,negative
convince,convencer,positive
cool,fresco,positive
coolness,frescura,positive
coop,gallinero,negative
cooperate,cooperar,positive
cooperating,cooperar,positive
cooperation,cooperación,positive
cooperative,cooperativa,positive
copy,copia,negative
copycat,copycat,negative
core,núcleo,positive
coronation,coronación,positive
coroner,juez de instrucción,negative
corporal,corporal,negative
corporation,corporación,positive
corporeal,corpóreo,positive
corpse,cadáver,negative
correction,corrección,negative
corrective,correctivo,positive
correspondence,correspondencia,positive
corroborate,corroborar,positive
corrosion,corrosión,negative
corrosive,corrosivo,negative
corrupt,corrupto,negative
corrupting,corruptora,negative
corruption,corrupción,negative
cosmopolitan,cosmopolita,positive
cosy,acogedor,positive
cough,tos,negative
council,consejo,positive
counsel,consejo,positive
counsellor,consejero,negative
counselor,consejero,positive
count,contar,positive
countess,condesa,positive
courage,coraje,positive
courageous,valiente,positive
coursing,caza de liebres,negative
courteous,cortés,positive
courtesy,cortesía,positive
courtship,noviazgo,positive
cove,cala,positive
covenant,pacto,positive
covet,codiciar,negative
coward,cobarde,negative
cowardice,cobardía,negative
cowardly,cobarde,negative
crabby,malhumorados,negative
crack,grieta,negative
cracked,agrietado,negative
cracking,agrietamiento,negative
cradle,cuna,positive
craft,arte,positive
craftsman,artesano,positive
cramp,calambre,negative
cramped,estrecho,negative
crank,manivela,negative
cranky,irritable,negative
crap,mierda,negative
crash,choque,negative
crawl,crawl,negative
crazed,loco,negative
crazy,loco,negative
creaking,crujiente,negative
cream,crema,positive
create,crear,positive
creative,creativo,positive
creature,criatura,negative
credence,crédito,positive
credential,credencial,positive
credibility,credibilidad,positive
credible,creíble,positive
credit,crédito,positive
creditable,loable,positive
credited,acreditado,positive
creep,arrastrarse,negative
crescendo,crescendo,positive
crime,crimen,negative
criminal,criminal,negative
criminality,criminalidad,negative
cringe,encogerse,negative
cripple,lisiar,negative
crippled,lisiado,negative
crisis,crisis,negative
crisp,crujiente,negative
critic,crítico,negative
criticism,crítica,negative
criticize,criticar,negative
critique,crítica,positive
crook,ladrón,negative
cross,cruzar,negative
crouching,agazapado,negative
crowning,coronamiento,positive
crucial,crucial,positive
cruciate,cruzado,negative
crucifixion,crucifixión,negative
crude,crudo,negative
cruel,cruel,negative
cruelly,con crueldad,negative
cruelty,crueldad,negative
crumbling,desmoronamiento,negative
crunch,crujido,negative
crusade,cruzada,negative
crushed,aplastado,negative
crushing,aplastante,negative
crusty,crujiente,negative
cry,grito,negative
crying,llanto,negative
crypt,cripta,negative
crystal,cristal,positive
cuckold,cornudo,negative
cuckoo,cuco,negative
cuddle,abrazo,positive
culinary,culinario,positive
cull,desecho,negative
culmination,culminación,positive
culpability,culpabilidad,negative
culpable,culpable,negative
culprit,culpable,negative
cult,culto,negative
cultivate,cultivar,positive
cultivated,cultivado,positive
cultivation,cultivo,positive
culture,cultura,positive
cumbersome,incómodo,negative
cunning,astucia,positive
cupping,catación,negative
cur,canalla,negative
curable,curable,positive
curiosity,curiosidad,positive
curl,rizo,positive
curse,maldición,negative
cursed,maldito,negative
cursing,maldiciendo,negative
cursory,superficial,negative
cushion,cojín,positive
customer,cliente,positive
cute,lindo,positive
cutter,cortador,negative
cutters,cortadores,positive
cutthroat,asesino,negative
cutting,corte,negative
cyanide,cianuro,negative
