"","Source","Title","Narrative","Date"
"22","NPR","On The Ground InÿPuerto Rico","Hurricane Maria has slammed intoÿPuerto Rico, where there are reports of wind shattering windows and tearing off roofs. David Greene talks to Miguel Santiagoÿ...",2017-09-20
"23","NPR","Hurricane Maria Leaves Hospital InÿPuerto RicoÿRunning On ...","NPR's Ari Shapiro speaks to Domingo Cruz Vivaldi, an administrator at the San Jorge Children's Hospital in San Juan,ÿPuerto Ricoÿas Hurricane Maria'sÿ...",2017-09-20
"24","NPR","Puerto RicoÿAnd US Virgin Islands Hit By Hurricane Maria","Less than a month after Hurricane Irma hit, the U.S. Virgin Islands andÿPuertoÿRicoÿare dealing with another storm as Hurricane Maria barrels through the region.",2017-09-20
"25","NPR","Top Stories: Hurricane Maria HitsÿPuerto Rico; Senate GOP's Health ...","Top Stories: Hurricane Maria HitsÿPuerto Rico; Senate GOP's Health Care Bill. Facebook; Twitter; Google+ ú Email. September 20, 20179:49 AM ET.",2017-09-20
"26","MLB.com","Halos, Tribe thinking of families inÿPuerto Rico","Halos, Tribe thinking of families inÿPuerto RicoÿMartin Maldonado (left) and Francisco Lindor played forÿPuerto Ricoÿduring the World Baseball Classic. (AP).",2017-09-20
"27","ABC News","Puerto Ricanÿastronaut affected by double hurricanes","Now Maria has slammed intoÿPuerto Rico, his family's homeland. In an interview with The Associated Press on Wednesday, the first astronaut ofÿPuerto Ricanÿ...",2017-09-20
"28","6abc.com","Philadelphians hoping to reach family inÿPuerto Rico","Officials fromÿPuerto Ricoÿsay the entire island is completely without power. By the time it's over, Hurricane Maria will have brought a minimum of a foot of waterÿ...",2017-09-20
"29","6abc.com","Mayfair resident trapped inÿPuerto Ricoÿamid Maria","While her daughters are here in Philadelphia, Ruiz said she is glad she is with her mother-in-law inÿPuerto Rico, as otherwise she would have been enduringÿ...",2017-09-20
"30","Space.com","The Arecibo Observatory:ÿPuerto Rico'sÿGiant Radio Telescope in ...","Story image for puerto rico from 6abc.com",2017-09-20
"31","VICE News","This is what Hurricane Maria did toÿPuerto Rico","The worst storm to hitÿPuerto Ricoÿ?in modern history? made landfall as a Category 4 storm early Wednesday, causing massive damage and destruction.",2017-09-20
"32","Philly.com","PhillyÿPuerto Ricanÿcommunity mobilizes to generate Hurricane aid","Instead of celebrating the annualÿPuerto RicanÿWeek, many in Philadelphia'sÿPuerto Ricanÿcommunity were holding their breath Wednesday, as Hurricane Mariaÿ...",2017-09-20
"33","Daily Mail","Rescue teams take toÿPuerto Ricoÿstreets in darkness amid ...","Puerto Ricoÿmay be without power for months after Hurricane Maria hit the U.S. .... San Juan,ÿPuerto Ricoÿis seen during a blackout after Hurricane Maria madeÿ...",2017-09-20
"34","NBC Chicago","Chicagoans Wait For Word From Family in Hurricane-Battered ...","Many families in Chicago's Humboldt Park are now going 24 hours without a word from their families in hurricane-batteredÿPuerto Rico. Chris Hush reports.",2017-09-20
"35","PBS NewsHour","Historic Hurricane Maria devastates housing inÿPuerto Rico","Hurricane Maria made landfall inÿPuerto Ricoÿearly Wednesday morning, ripping off roofs and cutting power for most of the island. P.J. Tobia reports on theÿ...",2017-09-20
"36","ScienceAlert","The Iconic Arecibo Telescope inÿPuerto RicoÿIs Being Battered by ...","As Hurricane Maria slamsÿPuerto Ricoÿwith devastating force, scientists at the historic Arecibo Observatory are among the millions of people being battered byÿ...",2017-09-20
"37","CBSSports.com","Hurricane Maria damagesÿPuerto Ricoÿstadium set to host two MLB ...","Early Wednesday morning, Hurricane Maria made landfall as a Category 4 storm inÿPuerto Rico. Maria caused significant damage and forced widespread powerÿ...",2017-09-20
"38","GOOD Magazine","Move Over, Wonder Woman ? This Afro-Puerto RicanÿSuperhero Is ...","Edgardo Miranda-Rodriguez, a self-described artsy nerd from the South Bronx, never imagined that the Afro-Puerto Ricanÿpacifist character he firstÿ...",2017-09-20
"39","Washington Post","Hurricane Maria slammedÿPuerto Rico","Sept. 25, 2017 Residents of San Lorenzo,ÿPuerto Rico, can't access their homes because flooding destroyed a bridge connecting them with the area's main roadÿ...",2017-09-20
"40","Wall Street Journal (subscription)","Hurricane Maria Exposes a Common Problem forÿPuerto Ricoÿ...","ManyÿPuerto Ricanÿhomeowners don't have insurance policies to help with rebuilding in the wake of Hurricane Maria, making the economically depressedÿ...",2017-09-20
"41","Depth-Washington Post","Puerto Rico˜entirely without power as Hurricane Maria hammers ...","Maria now a dangerous Category 5, bearing down on˜Puerto Rico",2017-09-20
"42","NPR","On The Ground In˜Puerto Rico","Hurricane Maria has slammed into˜Puerto Rico, where there are reports of wind shattering windows and tearing off roofs. David Greene talks to Miguel Santiago˜...",2017-09-20
"43","NPR","Hurricane Maria Leaves Hospital In˜Puerto Rico˜Running On ...","NPR's Ari Shapiro speaks to Domingo Cruz Vivaldi, an administrator at the San Jorge Children's Hospital in San Juan,˜Puerto Rico˜as Hurricane Maria's˜...",2017-09-20
"44","NPR","Puerto Rico˜And US Virgin Islands Hit By Hurricane Maria","Less than a month after Hurricane Irma hit, the U.S. Virgin Islands and˜Puerto˜Rico˜are dealing with another storm as Hurricane Maria barrels through the region.",2017-09-20
"45","NPR","Top Stories: Hurricane Maria Hits˜Puerto Rico; Senate GOP's Health ...","Top Stories: Hurricane Maria Hits˜Puerto Rico; Senate GOP's Health Care Bill. Facebook; Twitter; Google+ £ Email. September 20, 20179:49 AM ET.",2017-09-20
"46","MLB.com","Halos, Tribe thinking of families in˜Puerto Rico","Halos, Tribe thinking of families in˜Puerto Rico˜Martin Maldonado (left) and Francisco Lindor played for˜Puerto Rico˜during the World Baseball Classic. (AP).",2017-09-20
"47","ABC News","Puerto Rican˜astronaut affected by double hurricanes","Now Maria has slammed into˜Puerto Rico, his family's homeland. In an interview with The Associated Press on Wednesday, the first astronaut of˜Puerto Rican˜...",2017-09-20
"48","6abc.com","Philadelphians hoping to reach family in˜Puerto Rico","Officials from˜Puerto Rico˜say the entire island is completely without power. By the time it's over, Hurricane Maria will have brought a minimum of a foot of water˜...",2017-09-20
"49","6abc.com","Mayfair resident trapped in˜Puerto Rico˜amid Maria","While her daughters are here in Philadelphia, Ruiz said she is glad she is with her mother-in-law in˜Puerto Rico, as otherwise she would have been enduring˜...",2017-09-20
"50","Space.com","The Arecibo Observatory:˜Puerto Rico's˜Giant Radio Telescope in ...","Story image for puerto rico from 6abc.com",2017-09-20
"51","VICE News","This is what Hurricane Maria did to˜Puerto Rico","The worst storm to hit˜Puerto Rico˜?in modern history? made landfall as a Category 4 storm early Wednesday, causing massive damage and destruction.",2017-09-20
"52","Philly.com","Philly˜Puerto Rican˜community mobilizes to generate Hurricane aid","Instead of celebrating the annual˜Puerto Rican˜Week, many in Philadelphia's˜Puerto Rican˜community were holding their breath Wednesday, as Hurricane Maria˜...",2017-09-20
"53","Daily Mail","Rescue teams take to˜Puerto Rico˜streets in darkness amid ...","Puerto Rico˜may be without power for months after Hurricane Maria hit the U.S. .... San Juan,˜Puerto Rico˜is seen during a blackout after Hurricane Maria made˜...",2017-09-20
"54","NBC Chicago","Chicagoans Wait For Word From Family in Hurricane-Battered ...","Many families in Chicago's Humboldt Park are now going 24 hours without a word from their families in hurricane-battered˜Puerto Rico. Chris Hush reports.",2017-09-20
"55","PBS NewsHour","Historic Hurricane Maria devastates housing in˜Puerto Rico","Hurricane Maria made landfall in˜Puerto Rico˜early Wednesday morning, ripping off roofs and cutting power for most of the island. P.J. Tobia reports on the˜...",2017-09-20
"56","ScienceAlert","The Iconic Arecibo Telescope in˜Puerto Rico˜Is Being Battered by ...","As Hurricane Maria slams˜Puerto Rico˜with devastating force, scientists at the historic Arecibo Observatory are among the millions of people being battered by˜...",2017-09-20
"57","CBSSports.com","Hurricane Maria damages˜Puerto Rico˜stadium set to host two MLB ...","Early Wednesday morning, Hurricane Maria made landfall as a Category 4 storm in˜Puerto Rico. Maria caused significant damage and forced widespread power˜...",2017-09-20
"58","GOOD Magazine","Move Over, Wonder Woman ? This Afro-Puerto Rican˜Superhero Is ...","Edgardo Miranda-Rodriguez, a self-described artsy nerd from the South Bronx, never imagined that the Afro-Puerto Rican˜pacifist character he first˜...",2017-09-20
"59","Washington Post","Hurricane Maria slammed˜Puerto Rico","Sept. 25, 2017 Residents of San Lorenzo,˜Puerto Rico, can't access their homes because flooding destroyed a bridge connecting them with the area's main road˜...",2017-09-20
"60","Wall Street Journal (subscription)","Hurricane Maria Exposes a Common Problem for˜Puerto Rico˜...","Many˜Puerto Rican˜homeowners don't have insurance policies to help with rebuilding in the wake of Hurricane Maria, making the economically depressed˜...",2017-09-20
"61","CNN","Justice Sotomayor says she hasn't heard from half her family in ...","Washington (CNN) US Supreme Court Justice Sonia Sotomayor on Thursday said she has not heard from ""half her family"" inÿPuerto Rico, where Hurricaneÿ...",2017-09-21
"62","NPR","News Brief: Natural Disasters Strike Mexico AndÿPuerto Rico","Assessments of Mexico's quake and the hurricane inÿPuerto Rico. A vote on the GOP's latest attempt to gut the Affordable Care Act could come soon. Presidentÿ...",2017-09-21
"63","WBUR","Bostonians Struggle To Reach Relatives InÿPuerto RicoÿAffected By ...","Boston-areaÿPuerto Ricansÿare scurrying to communicate with relatives as the island reels from the devastation of Hurricane Maria. The entire U.S. territory isÿ...",2017-09-21
"64","Grist","Hurricane Maria struckÿPuerto Ricoÿwith record-breaking rains.","Maria wrecked many repairs that had just been completed after Irma swiped atÿPuerto Ricoÿtwo weeks ago. The National Hurricane Center reports that the islandÿ...",2017-09-21
"65","Quartz","Solar, wind, and water account for 2% ofÿPuerto Rico'sÿenergy?and ...","Update (10:28am ET Sept. 26): US president Donald Trump has tweeted aboutÿPuerto Rico'sÿpower outage.ÿPuerto Rico'sÿ3.4 million island residents areÿ...",2017-09-21
"66","MLB.com","Puerto Ricanÿplayers eager to help after Maria","Puerto Ricanÿplayers eager to help after Maria Yadier Molina and Carlos Beltran are two of many Major Leaguers looking into ways to help Puetro Rico afterÿ...",2017-09-21
"67","Fortune","Hurricane Maria: Will Bankruptcy, Not Storm Damage, Devastate ...","The reasons forÿPuerto Rico'sÿfinancial insolvency are complicated, but essentially the local government defaulted on $72 billion in bonds beginning Augustÿ...",2017-09-21
"68","INSIDER","Puerto Ricoÿis completely without power after getting slammed by ...","Hurricane Maria is now a Category 3 storm. It made landfall onÿPuerto Ricoÿafter slamming Dominica and leftÿPuerto Ricoÿcompletely without power.",2017-09-21
"69","6abc.com","Philly area bands together to help Mexico,ÿPuerto Rico","While Mexico deals with the aftermath of an earthquake,ÿPuerto Ricoÿis reeling from the effects of Hurricane Maria. The storm pounded the area causing floodingÿ...",2017-09-21
"70","ABC News","Maria survivors inÿPuerto Ricoÿshare harrowing details","We're also hearing about incredible stories of survival from people directly hit by hurricane MARIA and ABC's Victor Oquendo, he's also in San Juan.",2017-09-21
"71","The Hill","Trump to visit hurricane-ravagedÿPuerto Rico","President Trump said Thursday he'd visit the U.S. territory ofÿPuerto Rico, which has been devastated by Hurricane Maria. Seated next to Ukrainian Presidentÿ...",2017-09-21
"72","wnep.com","Scranton Residents Looking for Ways to Contact Family inÿPuerto Rico","SCRANTON -- The devastation inÿPuerto Ricoÿfrom Hurricane Maria can be felt almost 2,000 miles away. At Ramirez Salon on Pittston Avenue in Scranton,ÿ...",2017-09-21
"73","EcoWatch","Hurricane Maria DevastatesÿPuerto Rico","As new Hurricane Maria brings devastation toÿPuerto Rico, the governor of the island, Ricardo Rossello, has asked Donald Trump to declare the U.S. territory aÿ...",2017-09-21
"74","Billboard","Univision and Telemundo to Raise Funds (Separately) for Mexico ...","Telemundo will also broadcast a four-hour special called ""Todos Unidos"" (All Together) live from Miami, Mexico,ÿPuerto Rico, Houston and Los Angeles onÿ...",2017-09-21
"75","Space.com","Astronaut's Dramatic Photos Show Hurricane Maria Raging Over ...","While Hurricane Maria slammedÿPuerto Ricoÿwith pounding rainfall and dangerously strong winds yesterday (Sept. 20), astronauts at the International Spaceÿ...",2017-09-21
"76","Billboard","Marc Anthony Urges People to Donate toÿPuerto RicoÿHurricane ...","In a Billboard exclusive video, Marc Anthony calls for people to aid in the efforts as Hurricane Maria wreaks havoc on his island,ÿPuerto Rico, just after theÿ...",2017-09-21
"77","Billboard","10 Songs Sending Love toÿPuerto Ricoÿin Wake of Hurricane Maria","Those many songs range from composer Rafael Hern ndez's classic ""Lamento Borincano,"" a story of the economic struggles of theÿPuerto Ricanÿfarmer, to Marcÿ...",2017-09-21
"78","CBS Local","Puerto RicanÿRestaurant Patrons Pray For Those Hit By Maria","DENVER (CBS4)? Hurricane Maria took the tropical island ofÿPuerto Ricoÿand ... At theÿPuerto Ricanÿrestaurant El Coqui D'aqui at Colorado Boulevard andÿ...",2017-09-21
"79","Boston.com","Powerless:ÿPuerto Ricoÿfaces weeks without electricity","SAN JUAN,ÿPuerto Ricoÿ(AP) ? The sky was darkening Thursday afternoon as 10-year-old Sarah Jimenez laid out three plastic buckets on her grandmother'sÿ...",2017-09-21
"80","Turn to 10","Harrowing video sent fromÿPuerto Ricoÿshows Hurricane Maria's wrath","Harrowing video sent fromÿPuerto Ricoÿshows Hurricane Maria's wrath ... A viewer in Rhode Island sent in emotional video of a family inÿPuerto Ricoÿas Mariaÿ...",2017-09-21
"81","Yahoo News","Puerto Ricoÿrushes to evacuate many amid fears dam will burst","San Juan (AFP) - Authorities inÿPuerto Ricoÿrushed Saturday to evacuate people living downriver from a dam said to be in danger of collapsing because ofÿ...",2017-09-21
"82","NBCNews.com","All Power Out as Hurricane Maria's Winds, Floods CrushÿPuerto Rico","SAN JUAN,ÿPuerto Ricoÿ? Hurricane Maria is likely to have ""destroyed""ÿPuertoÿRico, the island's emergency director said Wednesday after the monster stormÿ...",2017-09-21
"83","New York Post","Sotomayor hasn't heard from family inÿPuerto Ricoÿafter Maria","Story image for puerto rico from NPR",2017-09-21
"84","Boston Herald","Boston residents anxiously await word from loved ones inÿPuerto Rico","Story image for puerto rico from New York Post",2017-09-21
"85","New York Times","North Korea,ÿPuerto Rico, Iran: Your Friday Briefing","... ? President Trump widened U.S. sanctions against trade with North Korea and presented a united front against its nuclear program with President Moon Jae-inÿ...",2017-09-21
"86","Washington Post","Arecibo Observatory,ÿPuerto Rico'sÿfamous telescope, is battered by ...","This post has been updated. All staff atÿPuerto Rico'sÿArecibo Observatory are safe after Hurricane Maria roared over the island Wednesday, but the iconic radioÿ...",2017-09-21
"87","Sports Illustrated","Jorge Posada and Wife Laura Launch Fundraising Campaign for ...","Story image for puerto rico from CNN",2017-09-21
"88","Worcester Telegram","Worcester's Latino community focused onÿPuerto Rico","Electricity poles and lines lay toppled on the road after Hurricane Maria hit the eastern region of the island in Humacao,ÿPuerto Rico. [The Associated Press].",2017-09-21
"89","MyCentralJersey.com","Perth Amboy seeks joint effort to rebuildÿPuerto Rico","PERTH AMBOY - Mayor Wilda Diaz is looking to work with other Latino community organizations and state leaders to help with efforts to rebuildÿPuertoÿRicoÿas aÿ...",2017-09-21
"90","New York Daily News","Hurricane Maria strikesÿPuerto Ricoÿafter pummeling Caribbean","The aftermath of Hurricane Maria has leftÿPuerto Ricoÿwith little food, water, and shelter. In addition to the pummeling the U.S. territory, the former category 5ÿ...",2017-09-21
"91","DesMoinesRegister.com","Officials still assessing whetherÿPuerto RicoÿTip-Off will be moved","If you're an Iowa State basketball fan planning to attend the Nov. 16-19ÿPuertoÿRicoTip-Off Tournament in Fajardo ... ... And if you haven't yet purchased yourÿ...",2017-09-21
"92","The White House (blog)","President Donald J. Trump ApprovesÿPuerto RicoÿDisaster Declaration","Yesterday, President Donald J. Trump declared that a major disaster exists in the Commonwealth ofÿPuerto Ricoÿand ordered Federal assistance to supplementÿ...",2017-09-21
"93","Atlanta Journal Constitution","Puerto Ricoÿneeds your help ? Where to donate your money, how ...","The once Category 5 storm hit the U.S. Virgin Islands last week and eventually downgraded to a Category 4, but not before it plowed throughÿPuerto Rico,ÿ...",2017-09-21
"94","CNN","Justice Sotomayor says she hasn't heard from half her family in ...","Washington (CNN) US Supreme Court Justice Sonia Sotomayor on Thursday said she has not heard from ""half her family"" in˜Puerto Rico, where Hurricane˜...",2017-09-21
"95","NPR","News Brief: Natural Disasters Strike Mexico And˜Puerto Rico","Assessments of Mexico's quake and the hurricane in˜Puerto Rico. A vote on the GOP's latest attempt to gut the Affordable Care Act could come soon. President˜...",2017-09-21
"96","WBUR","Bostonians Struggle To Reach Relatives In˜Puerto Rico˜Affected By ...","Boston-area˜Puerto Ricans˜are scurrying to communicate with relatives as the island reels from the devastation of Hurricane Maria. The entire U.S. territory is˜...",2017-09-21
"97","Grist","Hurricane Maria struck˜Puerto Rico˜with record-breaking rains.","Maria wrecked many repairs that had just been completed after Irma swiped at˜Puerto Rico˜two weeks ago. The National Hurricane Center reports that the island˜...",2017-09-21
"98","Quartz","Solar, wind, and water account for 2% of˜Puerto Rico's˜energy?and ...","Update (10:28am ET Sept. 26): US president Donald Trump has tweeted about˜Puerto Rico's˜power outage.˜Puerto Rico's˜3.4 million island residents are˜...",2017-09-21
"99","MLB.com","Puerto Rican˜players eager to help after Maria","Puerto Rican˜players eager to help after Maria Yadier Molina and Carlos Beltran are two of many Major Leaguers looking into ways to help Puetro Rico after˜...",2017-09-21
"100","Fortune","Hurricane Maria: Will Bankruptcy, Not Storm Damage, Devastate ...","The reasons for˜Puerto Rico's˜financial insolvency are complicated, but essentially the local government defaulted on $72 billion in bonds beginning August˜...",2017-09-21
"101","INSIDER","Puerto Rico˜is completely without power after getting slammed by ...","Hurricane Maria is now a Category 3 storm. It made landfall on˜Puerto Rico˜after slamming Dominica and left˜Puerto Rico˜completely without power.",2017-09-21
"102","6abc.com","Philly area bands together to help Mexico,˜Puerto Rico","While Mexico deals with the aftermath of an earthquake,˜Puerto Rico˜is reeling from the effects of Hurricane Maria. The storm pounded the area causing flooding˜...",2017-09-21
"103","ABC News","Maria survivors in˜Puerto Rico˜share harrowing details","We're also hearing about incredible stories of survival from people directly hit by hurricane MARIA and ABC's Victor Oquendo, he's also in San Juan.",2017-09-21
"104","The Hill","Trump to visit hurricane-ravaged˜Puerto Rico","President Trump said Thursday he'd visit the U.S. territory of˜Puerto Rico, which has been devastated by Hurricane Maria. Seated next to Ukrainian President˜...",2017-09-21
"105","wnep.com","Scranton Residents Looking for Ways to Contact Family in˜Puerto Rico","SCRANTON -- The devastation in˜Puerto Rico˜from Hurricane Maria can be felt almost 2,000 miles away. At Ramirez Salon on Pittston Avenue in Scranton,˜...",2017-09-21
"106","EcoWatch","Hurricane Maria Devastates˜Puerto Rico","As new Hurricane Maria brings devastation to˜Puerto Rico, the governor of the island, Ricardo Rossello, has asked Donald Trump to declare the U.S. territory a˜...",2017-09-21
"107","Billboard","Univision and Telemundo to Raise Funds (Separately) for Mexico ...","Telemundo will also broadcast a four-hour special called ""Todos Unidos"" (All Together) live from Miami, Mexico,˜Puerto Rico, Houston and Los Angeles on˜...",2017-09-21
"108","Space.com","Astronaut's Dramatic Photos Show Hurricane Maria Raging Over ...","While Hurricane Maria slammed˜Puerto Rico˜with pounding rainfall and dangerously strong winds yesterday (Sept. 20), astronauts at the International Space˜...",2017-09-21
"109","Billboard","Marc Anthony Urges People to Donate to˜Puerto Rico˜Hurricane ...","In a Billboard exclusive video, Marc Anthony calls for people to aid in the efforts as Hurricane Maria wreaks havoc on his island,˜Puerto Rico, just after the˜...",2017-09-21
"110","Billboard","10 Songs Sending Love to˜Puerto Rico˜in Wake of Hurricane Maria","Those many songs range from composer Rafael Hernÿndez's classic ""Lamento Borincano,"" a story of the economic struggles of the˜Puerto Rican˜farmer, to Marc˜...",2017-09-21
"111","CBS Local","Puerto Rican˜Restaurant Patrons Pray For Those Hit By Maria","DENVER (CBS4)? Hurricane Maria took the tropical island of˜Puerto Rico˜and ... At the˜Puerto Rican˜restaurant El Coqui D'aqui at Colorado Boulevard and˜...",2017-09-21
"112","Boston.com","Powerless:˜Puerto Rico˜faces weeks without electricity","SAN JUAN,˜Puerto Rico˜(AP) ? The sky was darkening Thursday afternoon as 10-year-old Sarah Jimenez laid out three plastic buckets on her grandmother's˜...",2017-09-21
"113","Turn to 10","Harrowing video sent from˜Puerto Rico˜shows Hurricane Maria's wrath","Harrowing video sent from˜Puerto Rico˜shows Hurricane Maria's wrath ... A viewer in Rhode Island sent in emotional video of a family in˜Puerto Rico˜as Maria˜...",2017-09-21
"114","Yahoo News","Puerto Rico˜rushes to evacuate many amid fears dam will burst","San Juan (AFP) - Authorities in˜Puerto Rico˜rushed Saturday to evacuate people living downriver from a dam said to be in danger of collapsing because of˜...",2017-09-21
"115","NBCNews.com","All Power Out as Hurricane Maria's Winds, Floods Crush˜Puerto Rico","SAN JUAN,˜Puerto Rico˜? Hurricane Maria is likely to have ""destroyed""˜Puerto˜Rico, the island's emergency director said Wednesday after the monster storm˜...",2017-09-21
"116","New York Post","Sotomayor hasn't heard from family in˜Puerto Rico˜after Maria","Story image for puerto rico from NPR",2017-09-21
"117","Boston Herald","Boston residents anxiously await word from loved ones in˜Puerto Rico","Story image for puerto rico from New York Post",2017-09-21
"118","New York Times","North Korea,˜Puerto Rico, Iran: Your Friday Briefing","... ? President Trump widened U.S. sanctions against trade with North Korea and presented a united front against its nuclear program with President Moon Jae-in˜...",2017-09-21
"119","Washington Post","Arecibo Observatory,˜Puerto Rico's˜famous telescope, is battered by ...","This post has been updated. All staff at˜Puerto Rico's˜Arecibo Observatory are safe after Hurricane Maria roared over the island Wednesday, but the iconic radio˜...",2017-09-21
"120","Worcester Telegram","Worcester's Latino community focused on˜Puerto Rico","Electricity poles and lines lay toppled on the road after Hurricane Maria hit the eastern region of the island in Humacao,˜Puerto Rico. [The Associated Press].",2017-09-21
"121","MyCentralJersey.com","Perth Amboy seeks joint effort to rebuild˜Puerto Rico","PERTH AMBOY - Mayor Wilda Diaz is looking to work with other Latino community organizations and state leaders to help with efforts to rebuild˜Puerto˜Rico˜as a˜...",2017-09-21
"122","New York Daily News","Hurricane Maria strikes˜Puerto Rico˜after pummeling Caribbean","The aftermath of Hurricane Maria has left˜Puerto Rico˜with little food, water, and shelter. In addition to the pummeling the U.S. territory, the former category 5˜...",2017-09-21
"123","DesMoinesRegister.com","Officials still assessing whether˜Puerto Rico˜Tip-Off will be moved","If you're an Iowa State basketball fan planning to attend the Nov. 16-19˜Puerto˜RicoTip-Off Tournament in Fajardo ... ... And if you haven't yet purchased your˜...",2017-09-21
"124","The White House (blog)","President Donald J. Trump Approves˜Puerto Rico˜Disaster Declaration","Yesterday, President Donald J. Trump declared that a major disaster exists in the Commonwealth of˜Puerto Rico˜and ordered Federal assistance to supplement˜...",2017-09-21
"125","Atlanta Journal Constitution","Puerto Rico˜needs your help ? Where to donate your money, how ...","The once Category 5 storm hit the U.S. Virgin Islands last week and eventually downgraded to a Category 4, but not before it plowed through˜Puerto Rico,˜...",2017-09-21
"126","Depth-USA TODAY","Hurricane Maria halts crucial drug manufacturing inÿPuerto Ricoÿ...","Story image for puerto rico from TIME",2017-09-22
"127","CNN","Hurricane Maria:ÿPuerto Ricoÿreels, Turks and Caicos hit","San Juan,ÿPuerto Ricoÿ(CNN)ÿPuerto Ricoÿgrappled with damages and deaths caused by Hurricane Maria on Friday as the storm hurtled across the Caribbeanÿ...",2017-09-22
